,省或城市,累计确诊,现有确诊,今日新增,死亡数,康复数
0,香港,272235,235706,2102,5136,31393
1,吉林,11071,10479,2219,3,589
2,台湾,21658,7063,166,853,13742
3,广东,6241,1707,89,8,4526
4,山东,2344,1213,68,7,1124
5,上海,4944,656,67,7,4281
6,浙江,2551,491,32,1,2059
7,福建,1931,389,162,1,1541
8,天津,1546,383,63,3,1160
9,陕西,3158,321,33,3,2834
10,广西,1347,320,14,2,1025
11,河北,1771,292,24,7,1472
12,辽宁,1233,262,47,2,969
13,甘肃,594,204,16,2,388
14,北京,1689,202,14,9,1478
15,江苏,1974,180,4,0,1794
16,四川,1583,136,0,3,1444
17,云南,2032,104,6,2,1926
18,黑龙江,2175,91,16,13,2071
19,重庆,678,62,11,6,610
20,河南,2714,47,1,22,2645
21,湖北,68388,21,0,4512,63855
22,山西,295,20,0,0,275
23,内蒙古,1673,20,7,1,1652
24,湖南,1244,12,5,4,1228
25,安徽,1021,12,0,6,1003
26,贵州,170,8,0,2,160
27,海南,193,3,0,6,184
28,江西,962,3,2,1,958
29,澳门,82,3,0,0,79
30,青海,32,2,0,0,30
31,西藏,1,0,0,0,1
32,新疆,996,0,0,3,993
33,宁夏,122,0,0,0,122
